#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
committee,,委員會,ve5ePD0T7yaY3L9HQALY
interrupt,,中斷,vhkQqSc9CtRt7Ca4uX5V
shape,,形狀,vlRVKYFtGgZibekYFxsg
bargain,,特價商品,vlaphbR6BSoczjgYCDRn
recommend,,推薦,vnXSXcMmjDDp4zKz35yJ
host,,主持人,vp7VudPkJTHOYmylYtIJ
favor,,恩惠,vpdoFckGyEXATzoqfpEv
donation,,捐贈,vsATl7fWi5VSkTCZbza7
supporter,,支持者,vtJQJWaDmKMEJr93rDxn
agreement,,協議,vtSGfhY2cxiCvY2KoYM9
mere,,僅僅,vuGElaJRiesA4AJeKjgO
receive,,接收,vwqfTi63Ri81uUIvqhA5
polite,,有禮貌,w64IzobWvFhByj7uhrkU
accomplishment,,成就,w6ApbSF6yi8lz4rQ5tna
dull,,沉悶,w9hr04m1ZUGN82rbQBrB
submit,,提交,wEXvgcKM37EhJa5Rw7Vw
scenery,,風景,wGiFwz0ObAloQN5F8QG6
spare part,,備用零件,wKT2ykDfSr4nPudofPg8
advertisement,,廣告,wTe720GQaHhnSDdQFD6K
thorough,,徹底,wXPZpMAh7ZMnmzeQQgNg
leisure,,休閒,wYRLPzoW9TUo2ew8N6S4
influence,,影響,wbvx2AnGU181ApN02nCY
disagreement,,不同意見,wfm57v02rzZ1CRzKiZFp
delight,,喜悅,wuGm1qcgPpMhrpGZhhuW
calculator,,計算機,wvnLNMqo0LpN8BfYddUL
complexity,,複雜性,wyqNcpmYoF9hWarQ68JP
destination,,目的地,x7q6QmEY6UKZLs4DPEo0
occupation,,職業,xBHP4sGxpEkrQTWhTklH
rare,,稀有,xBmdZbh5Up0Qp7zV6mlg
training,,培訓,xMAwnZAQ3plXoJ3fhKws
salary,,薪資,xNqThrpGdui2ks272iMS
knowledgeable,,博學的,xSXUY3WEykud4TYk414s
law,,法,xSrmo5txub1v2MQYRstR
access,,存取,xYO0F9hgrSYPSBSQL13N
objective,,目標,xhQlmtRfJUXBD4GPa4Lo
evidence,,證據,xi1AIM9TT8Sx0ctXmt44
identification,,身份證明,xpFRmu3QEBcn2kDVbBvf
indicate,,指示,yBeV8iDzeqhEoYpRy8oI
crowd,,人群,yImuY0EP70DPILihoOnf
tidy,,整潔,yWgBOrkDDwmV90GBdBsU
postponement,,延期,ya2PYP3oILUIoCIspO5q
upset,,心煩意亂,ybEDunm18uK5iQ2YLNLe
merger,,合併,yc4WmU2um9JOyrTUAc13
participant,,參與者,ynO8VdnM60HXF8WSv0Bq
excel,,勝出；優於；擅長,yoDBrcnD3iznNnCsPUyu
determine,,決定,yoFlT77ZNUYG8y6yKQAx
rescue,,救援,yoJEzU0RO7WmIrbMtxDQ
lean,,傾斜,yvXTXT5xJ2tc36vv7vpa
takeover,,接管,yw7g06YVgmRIu35YCpRo
lay off,,解僱,z0V6xHd3RfWSyeEJ1oRa
raw materials,,原材料,z11UR4ULLv6ISawqB6yU
assistance,,協助,z2jqOGHJiRYjK6plG5St
parking lot,,停車場,z3gJfiVUpweZv4xeri16
corporation,,公司,zAl6JoZSocex0smJjMHU
log on,,登入,zBt1o126TWmP96hXzVeT
roadside,,路邊,zDMYCmA6RtwUbsZegSqE
tremendous,,極大的,zHxZlz8JxBoztpjxvNTC
pleasant,,愉快,zMHXT24rPSJQN41WdsYu
deterioration,,惡化,zNhxGK8RmdoFNsEEWmwW
join,,加入,zUUQyOWveOB2yf2SxfyC
website,,網站,zYNzWFuskEDJ1ZE4OJyZ
decision,,決定,zZXJGM5BD1ph6WLjVfeI
quote,,引用,zdViUA5XLNWj6yCYPieO
résumé,,簡歷,zgIKb2IQFnBliGumJqv0
specify,,指定,zkuKlYPQDaTfHjBbceiB
predict,,預測,zl7wfm3WIfNhBAQQLfCe
adapter,,適配器,znF2SOVeKpnTDZt1eIlR
efficient,,高效率,zpRbQKx5YN7iih6Yr4Tw
maintain,,維持,ztCDzqPXv3H3HkRpvWQU
availability,,可用性,zzmuUEBQDMbavMsEulYz
